id,product_id,raw_text,ingredient_name,amount,unit,percentage
593,11,Kayganlaştırıcı Yok,Kayganlaştırıcı Yok,,,
594,11,İyi Üretim Uygulamaları ile üretilmiş,İyi Üretim Uygulamaları ile üretilmiş,,,
599,12,Isırgan otu (Urtica dioica),Isırgan otu (Urtica dioica),,,
600,12,Urticaceae familyasına ait çok yıllık bir bitkidir. Yaprak ve kök bölümleri doğal mineraller,Urticaceae familyasına ait çok yıllık bir bitkidir. Yaprak ve kök bölümleri doğal mineraller,,,
601,12,polifenoller ve fitosteroller içerir. Geleneksel bitkisel kullanım geçmişine sahip önemli bir türdür.,polifenoller ve fitosteroller içerir. Geleneksel bitkisel kullanım geçmişine sahip önemli bir türdür.,,,
606,13,Koenzim Q10,Koenzim Q,10,,
607,13,enerji metabolizmasında görev alan doğal bir koenzimdir. İnsan hücrelerinde de doğal olarak bulunur. Takviye formunda yaygın kullanılan,enerji metabolizmasında görev alan doğal bir koenzimdir. İnsan hücrelerinde de doğal olarak bulunur. Takviye formunda yaygın kullanılan,,,
612,14,SEPE NATURAL Cat's Claw Kedi Pençesi Ekstresi Kapsül Formdadır. Her kapsül 360 mg'dır. Her ambalajda 90 kapsül bulunmaktadır.,SEPE NATURAL Cat's Claw Kedi Pençesi Ekstresi Kapsül Formdadır. Her kapsül,360,mg'dır. Her ambalajda 90 kapsül bulunmaktadır.,
617,17,Standardize Demir Dikeni Ekstresi (83%) 400 mg,Standardize Demir Dikeni Ekstresi,400,mg,83%
618,17,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (17%) 80 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),80,mg.,17%
619,18,Standardize Spirulina Tozu (79%) 300 mg,Standardize Spirulina Tozu,300,mg,79%
620,18,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (21%) 80 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),80,mg.,21%
621,19,Standardize Cüce Palmiye Ekstresi (80%) 320 mg,Standardize Cüce Palmiye Ekstresi,320,mg,80%
